bin_id,bin_text,bin_impressions
4611526800711969330,"POLYGON ((4.904500000178814 52.424499999895694, 4.905500000178814 52.424499999895694, 4.905500000178814 52.42549999989569, 4.904500000178814 52.42549999989569, 4.904500000178814 52.424499999895694))",3
4611526806785970388,"POLYGON ((4.964500000001863 52.4224999998007, 4.965500000001863 52.4224999998007, 4.965500000001863 52.4234999998007, 4.964500000001863 52.4234999998007, 4.964500000001863 52.4224999998007))",2
4611526809822970821,"POLYGON ((4.89850000012666 52.42149999986962, 4.89950000012666 52.42149999986962, 4.89950000012666 52.422499999869615, 4.89850000012666 52.422499999869615, 4.89850000012666 52.42149999986962))",4
4611526812859971247,"POLYGON ((4.82550000003539 52.420499999938535, 4.826500000035391 52.420499999938535, 4.826500000035391 52.42149999993853, 4.82550000003539 52.42149999993853, 4.82550000003539 52.420499999938535))",2
4611526815896971820,"POLYGON ((4.899500000057742 52.41949999977462, 4.900500000057742 52.41949999977462, 4.900500000057742 52.42049999977462, 4.899500000057742 52.42049999977462, 4.899500000057742 52.41949999977462))",31
4611526818933972290,"POLYGON ((4.870500000193715 52.41849999984354, 4.871500000193715 52.41849999984354, 4.871500000193715 52.41949999984354, 4.870500000193715 52.41949999984354, 4.870500000193715 52.41849999984354))",1
4611526821970972809,"POLYGON ((4.8905000002123415 52.41749999991246, 4.891500000212342 52.41749999991246, 4.891500000212342 52.418499999912456, 4.8905000002123415 52.418499999912456, 4.8905000002123415 52.41749999991246))",15
4611526828044973816,"POLYGON ((4.899500000057742 52.41549999981746, 4.900500000057742 52.41549999981746, 4.900500000057742 52.41649999981746, 4.899500000057742 52.41649999981746, 4.899500000057742 52.41549999981746))",14
4611526831081974326,"POLYGON ((4.910499999998137 52.41449999988638, 4.911499999998138 52.41449999988638, 4.911499999998138 52.41549999988638, 4.910499999998137 52.41549999988638, 4.910499999998137 52.41449999988638))",4
4611526834118974804,"POLYGON ((4.889500000048429 52.4134999999553, 4.890500000048429 52.4134999999553, 4.890500000048429 52.4144999999553, 4.889500000048429 52.4144999999553, 4.889500000048429 52.4134999999553))",2
4611526840192975838,"POLYGON ((4.9255000001285225 52.411499999860304, 4.926500000128523 52.411499999860304, 4.926500000128523 52.4124999998603, 4.9255000001285225 52.4124999998603, 4.9255000001285225 52.411499999860304))",4
4611526849303977338,"POLYGON ((4.9285000001545995 52.40849999983423, 4.9295000001546 52.40849999983423, 4.9295000001546 52.409499999834225, 4.9285000001545995 52.409499999834225, 4.9285000001545995 52.40849999983423))",8
4611526852340977841,"POLYGON ((4.932500000111759 52.407499999903145, 4.933500000111759 52.407499999903145, 4.933500000111759 52.40849999990314, 4.932500000111759 52.40849999990314, 4.932500000111759 52.407499999903145))",25
4611526855377978337,"POLYGON ((4.929500000085682 52.40649999997206, 4.930500000085682 52.40649999997206, 4.930500000085682 52.40749999997206, 4.929500000085682 52.40749999997206, 4.929500000085682 52.40649999997206))",4
4611526861451979327,"POLYGON ((4.921500000171363 52.40449999987707, 4.922500000171364 52.40449999987707, 4.922500000171364 52.405499999877065, 4.921500000171363 52.405499999877065, 4.921500000171363 52.40449999987707))",2
4611526861451979331,"POLYGON ((4.9255000001285225 52.40449999987707, 4.926500000128523 52.40449999987707, 4.926500000128523 52.405499999877065, 4.9255000001285225 52.405499999877065, 4.9255000001285225 52.40449999987707))",9
4611526870562980701,"POLYGON ((4.798500000033528 52.40149999985099, 4.799500000033528 52.40149999985099, 4.799500000033528 52.40249999985099, 4.798500000033528 52.40249999985099, 4.798500000033528 52.40149999985099))",1
4611526873599981350,"POLYGON ((4.948500000173226 52.40049999991991, 4.949500000173226 52.40049999991991, 4.949500000173226 52.401499999919906, 4.948500000173226 52.401499999919906, 4.948500000173226 52.40049999991991))",30
4611526876636981814,"POLYGON ((4.913500000024214 52.39949999998883, 4.914500000024215 52.39949999998883, 4.914500000024215 52.400499999988824, 4.913500000024214 52.400499999988824, 4.913500000024214 52.39949999998883))",6
4611526876636981845,"POLYGON ((4.944500000216067 52.39949999998883, 4.945500000216067 52.39949999998883, 4.945500000216067 52.400499999988824, 4.944500000216067 52.400499999988824, 4.944500000216067 52.39949999998883))",7
4611526879673982331,"POLYGON ((4.931500000180677 52.398499999824914, 4.932500000180677 52.398499999824914, 4.932500000180677 52.39949999982491, 4.931500000180677 52.39949999982491, 4.931500000180677 52.398499999824914))",4
4611526882710982815,"POLYGON ((4.916500000050291 52.39749999989383, 4.917500000050292 52.39749999989383, 4.917500000050292 52.39849999989383, 4.916500000050291 52.39849999989383, 4.916500000050291 52.39749999989383))",5
4611526885747983243,"POLYGON ((4.845500000054017 52.39649999996275, 4.846500000054017 52.39649999996275, 4.846500000054017 52.39749999996275, 4.845500000054017 52.39749999996275, 4.845500000054017 52.39649999996275))",2
4611526885747983338,"POLYGON ((4.940500000026077 52.39649999996275, 4.941500000026077 52.39649999996275, 4.941500000026077 52.39749999996275, 4.940500000026077 52.39749999996275, 4.940500000026077 52.39649999996275))",2
4611526894858984809,"POLYGON ((4.914500000188127 52.39349999993667, 4.9155000001881275 52.39349999993667, 4.9155000001881275 52.39449999993667, 4.914500000188127 52.39449999993667, 4.914500000188127 52.39349999993667))",3
4611526897895985232,"POLYGON ((4.8385000000707805 52.39249999977276, 4.839500000070781 52.39249999977276, 4.839500000070781 52.39349999977276, 4.8385000000707805 52.39349999977276, 4.8385000000707805 52.39249999977276))",2
4611526897895985265,"POLYGON ((4.871500000124797 52.39249999977276, 4.872500000124798 52.39249999977276, 4.872500000124798 52.39349999977276, 4.871500000124797 52.39349999977276, 4.871500000124797 52.39249999977276))",8
4611526897895985335,"POLYGON ((4.94150000018999 52.39249999977276, 4.94250000018999 52.39249999977276, 4.94250000018999 52.39349999977276, 4.94150000018999 52.39349999977276, 4.94150000018999 52.39249999977276))",24
4611526900932985771,"POLYGON ((4.878500000108033 52.39149999984168, 4.879500000108034 52.39149999984168, 4.879500000108034 52.392499999841675, 4.878500000108033 52.392499999841675, 4.878500000108033 52.39149999984168))",4
4611526900932985806,"POLYGON ((4.913500000024214 52.39149999984168, 4.914500000024215 52.39149999984168, 4.914500000024215 52.392499999841675, 4.913500000024214 52.392499999841675, 4.913500000024214 52.39149999984168))",11
4611526900932985837,"POLYGON ((4.944500000216067 52.39149999984168, 4.945500000216067 52.39149999984168, 4.945500000216067 52.392499999841675, 4.944500000216067 52.392499999841675, 4.944500000216067 52.39149999984168))",27
4611526903969986329,"POLYGON ((4.9375 52.390499999910595, 4.9385 52.390499999910595, 4.9385 52.39149999991059, 4.9375 52.39149999991059, 4.9375 52.390499999910595))",36
4611526903969986342,"POLYGON ((4.95050000003539 52.390499999910595, 4.951500000035391 52.390499999910595, 4.951500000035391 52.39149999991059, 4.95050000003539 52.39149999991059, 4.95050000003539 52.390499999910595))",19
4611526907006986750,"POLYGON ((4.859500000020489 52.38949999997951, 4.860500000020489 52.38949999997951, 4.860500000020489 52.39049999997951, 4.859500000020489 52.39049999997951, 4.859500000020489 52.38949999997951))",3
4611526907006986762,"POLYGON ((4.871500000124797 52.38949999997951, 4.872500000124798 52.38949999997951, 4.872500000124798 52.39049999997951, 4.871500000124797 52.39049999997951, 4.871500000124797 52.38949999997951))",2
4611526907006986795,"POLYGON ((4.904500000178814 52.38949999997951, 4.905500000178814 52.38949999997951, 4.905500000178814 52.39049999997951, 4.904500000178814 52.39049999997951, 4.904500000178814 52.38949999997951))",7
4611526910043987215,"POLYGON ((4.82550000003539 52.3884999998156, 4.826500000035391 52.3884999998156, 4.826500000035391 52.3894999998156, 4.82550000003539 52.3894999998156, 4.82550000003539 52.3884999998156))",2
4611526910043987277,"POLYGON ((4.8875000001862645 52.3884999998156, 4.888500000186265 52.3884999998156, 4.888500000186265 52.3894999998156, 4.8875000001862645 52.3894999998156, 4.8875000001862645 52.3884999998156))",10
4611526910043987308,"POLYGON ((4.918500000145286 52.3884999998156, 4.919500000145287 52.3884999998156, 4.919500000145287 52.3894999998156, 4.918500000145286 52.3894999998156, 4.918500000145286 52.3884999998156))",2
4611526910043987339,"POLYGON ((4.949500000104308 52.3884999998156, 4.9505000001043085 52.3884999998156, 4.9505000001043085 52.3894999998156, 4.949500000104308 52.3894999998156, 4.949500000104308 52.3884999998156))",4
4611526913080987778,"POLYGON ((4.889500000048429 52.38749999988452, 4.890500000048429 52.38749999988452, 4.890500000048429 52.388499999884516, 4.889500000048429 52.388499999884516, 4.889500000048429 52.38749999988452))",31
4611526913080987811,"POLYGON ((4.9225000001024455 52.38749999988452, 4.923500000102446 52.38749999988452, 4.923500000102446 52.388499999884516, 4.9225000001024455 52.388499999884516, 4.9225000001024455 52.38749999988452))",14
4611526916117988278,"POLYGON ((4.8905000002123415 52.386499999953436, 4.891500000212342 52.386499999953436, 4.891500000212342 52.387499999953434, 4.8905000002123415 52.387499999953434, 4.8905000002123415 52.386499999953436))",92
