bin_id,bin_text,bin_impressions
4611682771946591697,"POLYGON ((6.424999997019768 53.37500001192093, 6.474999997019768 53.37500001192093, 6.474999997019768 53.42500001192093, 6.424999997019768 53.42500001192093, 6.424999997019768 53.37500001192093))",112
4611682774983592169,"POLYGON ((5.074999988079071 53.325, 5.124999988079071 53.325, 5.124999988079071 53.375, 5.074999988079071 53.375, 5.074999988079071 53.325))",4
4611682778020592688,"POLYGON ((6.074999988079071 53.275000002980235, 6.124999988079071 53.275000002980235, 6.124999988079071 53.32500000298023, 6.074999988079071 53.32500000298023, 6.074999988079071 53.275000002980235))",275
4611682781057593195,"POLYGON ((6.4749999940395355 53.22500000596047, 6.524999994039535 53.22500000596047, 6.524999994039535 53.275000005960464, 6.4749999940395355 53.275000005960464, 6.4749999940395355 53.22500000596047))",7853
4611682784094593701,"POLYGON ((6.824999988079071 53.1750000089407, 6.874999988079071 53.1750000089407, 6.874999988079071 53.2250000089407, 6.824999988079071 53.2250000089407, 6.824999988079071 53.1750000089407))",393
4611682787131594202,"POLYGON ((6.924999997019768 53.12500001192093, 6.974999997019768 53.12500001192093, 6.974999997019768 53.17500001192093, 6.924999997019768 53.17500001192093, 6.924999997019768 53.12500001192093))",1670
4611682790168594716,"POLYGON ((7.674999997019768 53.075, 7.724999997019768 53.075, 7.724999997019768 53.125, 7.674999997019768 53.125, 7.674999997019768 53.075))",56
4611682793205595172,"POLYGON ((5.524999991059303 53.025000002980235, 5.574999991059303 53.025000002980235, 5.574999991059303 53.07500000298023, 5.524999991059303 53.07500000298023, 5.524999991059303 53.025000002980235))",3209
4611682793205595205,"POLYGON ((7.174999997019768 53.025000002980235, 7.224999997019768 53.025000002980235, 7.224999997019768 53.07500000298023, 7.174999997019768 53.07500000298023, 7.174999997019768 53.025000002980235))",11
4611682796242595691,"POLYGON ((6.524999991059303 52.97500000596047, 6.574999991059303 52.97500000596047, 6.574999991059303 53.025000005960464, 6.524999991059303 53.025000005960464, 6.524999991059303 52.97500000596047))",22470
4611682799279596182,"POLYGON ((6.125 52.9250000089407, 6.175 52.9250000089407, 6.175 52.9750000089407, 6.125 52.9750000089407, 6.125 52.9250000089407))",688
4611682802316596669,"POLYGON ((5.524999991059303 52.87500001192093, 5.574999991059303 52.87500001192093, 5.574999991059303 52.92500001192093, 5.524999991059303 52.92500001192093, 5.524999991059303 52.87500001192093))",543
4611682802316596702,"POLYGON ((7.174999997019768 52.87500001192093, 7.224999997019768 52.87500001192093, 7.224999997019768 52.92500001192093, 7.174999997019768 52.92500001192093, 7.174999997019768 52.87500001192093))",4
4611682805353597159,"POLYGON ((5.074999988079071 52.825, 5.124999988079071 52.825, 5.124999988079071 52.875, 5.074999988079071 52.875, 5.074999988079071 52.825))",59
4611682805353597207,"POLYGON ((7.4749999940395355 52.825, 7.524999994039535 52.825, 7.524999994039535 52.875, 7.4749999940395355 52.875, 7.4749999940395355 52.825))",27
4611682808390597658,"POLYGON ((5.074999988079071 52.775000002980235, 5.124999988079071 52.775000002980235, 5.124999988079071 52.82500000298023, 5.074999988079071 52.82500000298023, 5.074999988079071 52.775000002980235))",56
4611682808390597689,"POLYGON ((6.625 52.775000002980235, 6.675 52.775000002980235, 6.675 52.82500000298023, 6.625 52.82500000298023, 6.625 52.775000002980235))",440
4611682811427598150,"POLYGON ((4.7249999940395355 52.72500000596047, 4.774999994039535 52.72500000596047, 4.774999994039535 52.775000005960464, 4.7249999940395355 52.775000005960464, 4.7249999940395355 52.72500000596047))",3776
4611682811427598183,"POLYGON ((6.375 52.72500000596047, 6.425 52.72500000596047, 6.425 52.775000005960464, 6.375 52.775000005960464, 6.375 52.72500000596047))",187
4611682814464598669,"POLYGON ((5.7249999940395355 52.6750000089407, 5.774999994039535 52.6750000089407, 5.774999994039535 52.7250000089407, 5.7249999940395355 52.7250000089407, 5.7249999940395355 52.6750000089407))",9711
4611682814464598700,"POLYGON ((7.274999991059303 52.6750000089407, 7.324999991059303 52.6750000089407, 7.324999991059303 52.7250000089407, 7.274999991059303 52.7250000089407, 7.274999991059303 52.6750000089407))",12
4611682817501599152,"POLYGON ((4.924999997019768 52.62500001192093, 4.974999997019768 52.62500001192093, 4.974999997019768 52.67500001192093, 4.924999997019768 52.67500001192093, 4.924999997019768 52.62500001192093))",3315
4611682817501599187,"POLYGON ((6.674999997019768 52.62500001192093, 6.724999997019768 52.62500001192093, 6.724999997019768 52.67500001192093, 6.674999997019768 52.67500001192093, 6.674999997019768 52.62500001192093))",907
4611682820538599675,"POLYGON ((6.125 52.575, 6.175 52.575, 6.175 52.625, 6.125 52.625, 6.125 52.575))",655
4611682820538599692,"POLYGON ((6.9749999940395355 52.575, 7.024999994039535 52.575, 7.024999994039535 52.625, 6.9749999940395355 52.625, 6.9749999940395355 52.575))",36
4611682826612600659,"POLYGON ((5.424999997019768 52.47500000596047, 5.474999997019768 52.47500000596047, 5.474999997019768 52.525000005960464, 5.424999997019768 52.525000005960464, 5.424999997019768 52.47500000596047))",14088
4611682826612600690,"POLYGON ((6.9749999940395355 52.47500000596047, 7.024999994039535 52.47500000596047, 7.024999994039535 52.525000005960464, 6.9749999940395355 52.525000005960464, 6.9749999940395355 52.47500000596047))",336
4611682829649601162,"POLYGON ((5.625 52.4250000089407, 5.675 52.4250000089407, 5.675 52.4750000089407, 5.625 52.4750000089407, 5.625 52.4250000089407))",54
4611682832686601664,"POLYGON ((5.774999991059303 52.37500001192093, 5.824999991059303 52.37500001192093, 5.824999991059303 52.42500001192093, 5.774999991059303 52.42500001192093, 5.774999991059303 52.37500001192093))",7319
4611682835723602143,"POLYGON ((4.774999991059303 52.325, 4.824999991059303 52.325, 4.824999991059303 52.375, 4.774999991059303 52.375, 4.774999991059303 52.325))",29396
4611682835723602174,"POLYGON ((6.324999988079071 52.325, 6.374999988079071 52.325, 6.374999988079071 52.375, 6.324999988079071 52.375, 6.324999988079071 52.325))",584
4611682835723602185,"POLYGON ((6.875 52.325, 6.925 52.325, 6.925 52.375, 6.875 52.375, 6.875 52.325))",706
